,Actual,Predicted
578,159563267,92546148.49024962
579,145417412,92546148.49024962
580,210090250,92546148.49024962
581,166989688,92546148.49024962
582,208643444,92546148.49024962
583,221070537,92546148.49024962
584,221923313,92546148.49024962
585,157777339,92546148.49024962
586,231402818,92546148.49024962
587,180388976,92546148.49024962
588,157986324,92546148.49024962
589,220911051,92546148.49024962
590,190283951,92546148.49024962
591,167642485,92546148.49024962
592,183810771,92546148.49024962
593,169400913,92546148.49024962
594,180714119,92546148.49024962
595,186476985,92546148.49024962
596,195680318,92546148.49024962
597,170291880,92546148.49024962
598,138858136,92546148.49024962
599,203119211,92546148.49024962
600,158699056,92546148.49024962
601,192734347,92546148.49024962
602,234815090,92546148.49024962
603,306590613,92546148.49024962
604,230878807,92546148.49024962
605,196813541,92546148.49024962
606,213806323,92546148.49024962
607,217448287,92546148.49024962
608,232662023,92546148.49024962
609,186188131,92546148.49024962
610,186010325,92546148.49024962
611,180673644,92546148.49024962
612,215431442,92546148.49024962
613,204754129,92546148.49024962
614,172475452,92546148.49024962
615,216455708,92546148.49024962
616,182108581,92546148.49024962
617,229586538,92546148.49024962
618,213738549,92546148.49024962
619,180018588,92546148.49024962
620,191828457,92546148.49024962
621,146359950,92546148.49024962
622,142228105,92546148.49024962
623,161028315,92546148.49024962
624,153144912,92546148.49024962
625,156852790,92546148.49024962
626,181979154,92546148.49024962
627,154193277,92546148.49024962
628,128100106,92546148.49024962
629,148125790,92546148.49024962
630,151897763,92546148.49024962
631,170023794,92546148.49024962
632,191488872,92546148.49024962
633,167790256,92546148.49024962
634,143717897,92546148.49024962
635,145995583,92546148.49024962
636,121374453,92546148.49024962
637,133197140,92546148.49024962
638,129684359,92546148.49024962
639,153391444,92546148.49024962
640,150376373,92546148.49024962
641,144193876,92546148.49024962
642,116531584,92546148.49024962
643,120851587,92546148.49024962
644,98654635,92546148.49024962
645,123660026,92546148.49024962
646,110252238,92546148.49024962
647,170222118,92546148.49024962
648,169545900,92546148.49024962
649,126463845,92546148.49024962
650,133882493,92546148.49024962
651,123857932,92546148.49024962
652,142154637,92546148.49024962
653,115770892,92546148.49024962
